timedate,Calcium,Chloride,Magnesium,Nitrate,Potassium,Sodium,Sulfate,Temperature,Turbidity,Discharge
2022-08-04 20:09:00+00:00,1.618903,2.497859,1.390494,0.017903,0.05867,1.354783,0.863417,26.125,28.90625,1.010901883
2022-08-04 20:39:00+00:00,1.616085,2.500845,1.39037,0.017952,0.058414,1.354783,0.858698,26.25,28.90625,1.027891831
2022-08-04 21:08:00+00:00,1.616085,2.508225,1.387037,0.016258,0.058951,1.352696,0.855812,26.625,31.835938,1.010901883
2022-08-04 21:37:00+00:00,1.617955,2.476732,1.427366,0.018806,0.058849,1.353783,0.859031,26.625,29.882812,1.010901883
2022-08-04 22:06:00+00:00,1.615012,2.477014,1.385679,0.016726,0.0589,1.351043,0.845906,26.75,27.929688,0.982585304
2022-08-04 22:36:00+00:00,1.619476,2.477859,1.390535,0.017839,0.058491,1.351174,0.849906,26.75,26.953125,1.027891831
2022-08-04 23:05:00+00:00,1.608329,2.485296,1.37786,0.017226,0.058849,1.350261,0.844052,26.625,33.984375,0.996743593
2022-08-04 23:34:00+00:00,1.604788,2.502507,1.372757,0.01729,0.058951,1.351174,0.831458,26.75,30.859375,0.965595356
2022-08-05 00:04:00+00:00,1.600873,2.516901,1.370165,0.015871,0.059309,1.352043,0.836917,26.625,30.859375,0.948605408
2022-08-05 00:33:00+00:00,1.597007,2.521606,1.38,0.015129,0.059233,1.353087,0.832438,26.5,30.859375,1.010901883
2022-08-05 01:02:00+00:00,1.593965,2.507972,1.367407,0.015226,0.059054,1.356043,0.827156,26.5,29.882812,0.996743593
2022-08-05 01:31:00+00:00,1.585262,2.538423,1.362387,0.013887,0.059412,1.355391,0.810917,26.25,29.882812,0.948605408
2022-08-05 02:01:00+00:00,1.589726,2.538817,1.35963,0.015242,0.059079,1.355043,0.815083,26.25,28.90625,1.04205012
2022-08-05 02:30:00+00:00,1.583741,2.541211,1.35214,0.014387,0.059233,1.35313,0.80476,26.125,30.859375,0.996743593
2022-08-05 02:59:00+00:00,1.586683,2.529972,1.352016,0.015613,0.059693,1.355478,0.807677,26,28.90625,1.010901883
2022-08-05 03:28:00+00:00,1.57985,2.524225,1.350494,0.014129,0.059182,1.356957,0.796271,26,29.882812,1.04205012
2022-08-05 03:58:00+00:00,1.576559,2.534451,1.35177,0.012774,0.058772,1.351652,0.793073,25.875,30.859375,1.027891831
2022-08-05 04:27:00+00:00,1.571771,2.522761,1.346708,0.012194,0.05913,1.347739,0.784521,25.75,30.859375,1.05620841
2022-08-05 04:56:00+00:00,1.567032,2.524,1.335391,0.011758,0.059156,1.335043,0.774979,25.75,30.859375,1.05620841
2022-08-05 05:26:00+00:00,1.5602,2.523859,1.33177,0.010403,0.058491,1.326478,0.763719,25.625,29.882812,1.087356647
2022-08-05 05:55:00+00:00,1.548653,2.511014,1.334321,0.009742,0.058133,1.333652,0.765927,25.5,29.882812,1.0703667
2022-08-05 06:24:00+00:00,1.548628,2.507831,1.323128,0.009516,0.058747,1.307304,0.753802,25.375,28.90625,1.05620841
2022-08-05 06:53:00+00:00,1.548753,2.503183,1.320782,0.008516,0.057442,1.301174,0.744271,25.375,30.859375,1.087356647
2022-08-05 07:23:00+00:00,1.538005,2.497099,1.316461,0.007323,0.057954,1.289261,0.740208,25.25,29.882812,1.115673227
2022-08-05 07:52:00+00:00,1.533865,2.482732,1.31321,0.006677,0.057877,1.282826,0.733635,25.25,28.90625,1.101514937
2022-08-05 08:21:00+00:00,1.527456,2.475239,1.316461,0.005387,0.057698,1.287522,0.725938,25.125,27.929688,1.115673227
2022-08-05 08:50:00+00:00,1.52015,2.444817,1.312469,0.005113,0.057008,1.299435,0.718479,25.125,27.929688,1.132663174
2022-08-05 09:20:00+00:00,1.527955,2.451634,1.304486,0.006532,0.05757,1.276609,0.718125,25.125,29.882812,1.115673227
2022-08-05 09:49:00+00:00,1.526284,2.449268,1.30251,0.005935,0.058184,1.253783,0.716792,25,27.929688,1.163811412
2022-08-05 10:18:00+00:00,1.523416,2.422648,1.329095,0.005419,0.057263,1.253261,0.710229,25,27.929688,1.132663174
2022-08-05 10:48:00+00:00,1.526908,2.427577,1.300206,0.005935,0.057494,1.246261,0.714135,25,34.960938,1.177969701
2022-08-05 11:17:00+00:00,1.523367,2.416423,1.298313,0.005516,0.057238,1.239174,0.705833,25,27.929688,1.177969701
2022-08-05 11:46:00+00:00,1.523192,2.399155,1.299136,0.005194,0.057468,1.235652,0.702969,25,27.929688,1.211949596
2022-08-05 12:15:00+00:00,1.519726,2.387352,1.301276,0.005274,0.056701,1.229174,0.693729,25,25,1.177969701
2022-08-05 12:45:00+00:00,1.521845,2.380901,1.299095,0.005645,0.057519,1.225087,0.698854,25,25,1.211949596
2022-08-05 13:14:00+00:00,1.521272,2.376113,1.293663,0.005452,0.057187,1.221304,0.692115,25,23.925781,1.277077729
2022-08-05 13:43:00+00:00,1.518254,2.355099,1.294897,0.004984,0.057187,1.222478,0.691979,25.125,29.882812,1.291236019
2022-08-05 14:12:00+00:00,1.514988,2.35462,1.297654,0.0055,0.056854,1.220609,0.691354,25.125,22.949219,1.325215914
2022-08-05 14:42:00+00:00,1.511945,2.341972,1.30144,0.004452,0.056829,1.219261,0.686229,25.125,25,1.308225966
2022-08-05 15:11:00+00:00,1.516484,2.328704,1.294897,0.004548,0.05665,1.204783,0.681469,25.25,22.949219,1.342205862
2022-08-05 15:40:00+00:00,1.515511,2.316056,1.291687,0.004823,0.056471,1.198739,0.677,25.375,22.949219,1.393175704
2022-08-05 16:10:00+00:00,1.513317,2.323408,1.292757,0.004887,0.056419,1.195043,0.678885,25.5,22.949219,1.376185757
2022-08-05 16:39:00+00:00,1.543965,2.318479,1.307407,0.004694,0.057008,1.192391,0.675344,25.625,22.949219,1.429987258
2022-08-05 17:08:00+00:00,1.52409,2.302901,1.297202,0.006145,0.05688,1.199391,0.683104,25.625,25,1.446977205
2022-08-05 17:37:00+00:00,1.532793,2.290394,1.296214,0.006887,0.056419,1.197304,0.686125,26,25,1.500778706
2022-08-05 18:07:00+00:00,1.531746,2.27338,1.30284,0.007306,0.056829,1.196652,0.687729,26,25,1.4809571
2022-08-05 18:36:00+00:00,1.528379,2.280592,1.302798,0.00679,0.055806,1.189609,0.685583,26.25,23.925781,1.4809571
2022-08-05 19:05:00+00:00,1.519352,2.279577,1.290823,0.005613,0.056957,1.177696,0.670208,26.625,21.972656,1.517768654
2022-08-05 19:34:00+00:00,1.51995,2.267296,1.296461,0.005226,0.056368,1.175652,0.670281,26.75,25.976562,1.4809571
2022-08-05 20:04:00+00:00,1.526334,2.262535,1.300658,0.006452,0.056087,1.179174,0.677469,26.75,23.925781,1.500778706
2022-08-05 20:33:00+00:00,1.523167,2.253915,1.298354,0.00621,0.056317,1.17887,0.675031,27,25,1.537590259
2022-08-05 21:02:00+00:00,1.510274,2.261521,1.290576,0.003565,0.056701,1.16087,0.657823,27.125,21.972656,1.517768654
2022-08-05 21:32:00+00:00,1.506733,2.252254,1.287531,0.003419,0.056036,1.152522,0.65699,27.125,26.953125,1.554580207
2022-08-05 22:01:00+00:00,1.503317,2.248423,1.295679,0.002435,0.056189,1.144478,0.647719,27.125,20.996094,1.537590259
2022-08-05 22:30:00+00:00,1.497781,2.244479,1.281811,0.001855,0.056189,1.134435,0.643385,27.125,20.996094,1.500778706
2022-08-05 22:59:00+00:00,1.508878,2.234028,1.292016,0.001306,0.055985,1.141522,0.63726,27.125,20.996094,1.554580207
