Date,Calcium,Magnesium,Potassium,Sodium,Chlorides,Nitrates,Sulfates,CalciumLoad_g,MagnesiumLoad_g,PotassiumLoad_g,SodiumLoad_g,ChloridesLoad_g,NitratesLoad_g,SulfatesLoad_g,Discharge,LogQ,Precip_1D,Precip_3D,Precip_7D,Precip_14D,D5TE_VWC_5cm_Avg,D5TE_VWC_100cm_Avg,Temp_anomaly_14D,Turbidity,Temperature,LE_li_wpl,LEsmooth,LogQ10,Date
2021-09-05 17:00:00,2.15,1.49,0.05,0.73,0.944125,0.15,0.37149068322981366,3.3325,2.3095,0.07750000000000001,1.1315,1.46339375,0.23249999999999998,0.5758105590062111,1.55,0.1903316981702915,0.0,2.54,2.794,3.048,0.259,0.321,-2.0286377708978343,16.992188,21.5,122.4776,90.97160959605264,0.27297714392228845,2021-09-05 17:00:00
2021-09-05 17:30:00,2.14,1.48,0.05,0.73,0.9444999999999999,0.12,0.37161490683229814,3.317,2.294,0.07750000000000001,1.1315,1.4639749999999998,0.186,0.5760031055900622,1.55,0.1903316981702915,0.0,2.54,2.794,3.048,0.2585,0.321,-1.8977623456790127,16.992188,21.625,115.572215,91.60239435000001,0.27218499690485365,2021-09-05 17:30:00
2021-09-05 18:00:00,2.15,1.5,0.05,0.73,0.9448749999999999,0.12,0.3717391304347826,3.2895,2.295,0.07650000000000001,1.1169,1.44565875,0.18359999999999999,0.5687608695652174,1.53,0.1846914308175988,0.0,1.778,2.794,3.048,0.2575,0.321,-1.6426923076923075,16.992188,21.875,102.812905,91.88265711625,0.2713526533341566,2021-09-05 18:00:00
2021-09-05 18:30:00,2.16,1.51,0.05,0.73,0.9452499999999999,0.12,0.37186335403726706,3.3696,2.3556,0.07800000000000001,1.1388,1.4745899999999998,0.1872,0.5801068322981366,1.56,0.1931245983544616,0.0,1.778,2.794,3.048,0.2565,0.321,-1.5130368098159508,16.992188,22.0,30.549625000000002,91.73910949125,0.27056724033940593,2021-09-05 18:30:00
2021-09-05 19:00:00,2.15,1.5,0.05,0.72,0.9456249999999999,0.11,0.37198757763975154,3.2895,2.295,0.07650000000000001,1.1016,1.4468062499999998,0.1683,0.5691409937888199,1.53,0.1846914308175988,0.0,1.778,2.794,3.048,0.256,0.321,-1.259174311926607,16.992188,22.25,4.9943,89.62338243048781,0.26975123489920494,2021-09-05 19:00:00
2021-09-05 19:30:00,2.15,1.51,0.05,0.72,0.946,0.11,0.37211180124223603,3.3325,2.3405,0.07750000000000001,1.1159999999999999,1.4663,0.1705,0.5767732919254659,1.55,0.1903316981702915,0.0,1.778,2.794,3.048,0.255,0.321,-1.1307164634146325,16.992188,22.375,3.4339199999999996,89.64565829634148,0.26900188063480446,2021-09-05 19:30:00
2021-09-05 20:00:00,2.13,1.49,0.05,0.72,0.946375,0.11,0.3722360248447205,3.3228,2.3244000000000002,0.07800000000000001,1.1232,1.476345,0.1716,0.580688198757764,1.56,0.1931245983544616,0.0,1.778,2.794,3.048,0.254,0.321,-1.0026595744680868,15.917969,22.5,0.16564635,89.58079476707319,0.2682805015470283,2021-09-05 20:00:00
2021-09-05 20:30:00,2.06,1.4903846153846154,0.05,0.7,0.94675,0.11,0.37236024844720494,3.193,2.3100961538461537,0.07750000000000001,1.085,1.4674625000000001,0.1705,0.5771583850931676,1.55,0.1903316981702915,0.0,1.778,2.794,3.048,0.2535,0.321,-0.875,15.917969,22.625,-0.55745135,89.51168078292683,0.26752860309937065,2021-09-05 20:30:00
2021-09-05 21:00:00,2.0628,1.4907692307692308,0.05,0.72,0.947125,0.11,0.37248447204968943,3.1560840000000003,2.280876923076923,0.07650000000000001,1.1016,1.44910125,0.1683,0.5699012422360248,1.53,0.1846914308175988,0.0,1.778,2.794,3.048,0.2525,0.321,-0.8723564954682779,15.966797,22.625,-13.256206500000001,87.06482632380953,0.2667558195076181,2021-09-05 21:00:00
2021-09-05 21:30:00,2.0656,1.491153846153846,0.05,0.72,0.9475,0.1,0.3726086956521739,3.160368,2.2814653846153843,0.07650000000000001,1.1016,1.449675,0.15300000000000002,0.5700913043478261,1.53,0.1846914308175988,0.0,1.778,2.794,3.048,0.251,0.321,-0.8697289156626518,13.964844,22.625,-13.287561,86.78666345833335,0.2659522326341841,2021-09-05 21:30:00
2021-09-05 22:00:00,2.0684,1.4915384615384615,0.05,0.72,0.9478749999999999,0.1,0.3727329192546584,3.20602,2.3118846153846153,0.07750000000000001,1.1159999999999999,1.4692062499999998,0.15500000000000003,0.5777360248447205,1.55,0.1903316981702915,0.0,1.778,2.794,3.048,0.25,0.321,-0.9917417417417411,14.941406,22.5,1.5608708999999998,84.80466828255815,0.26519628888687546,2021-09-05 22:00:00
2021-09-05 22:30:00,2.0712,1.491923076923077,0.05,0.72,0.9482499999999999,0.09,0.37285714285714283,3.2103600000000005,2.312480769230769,0.07750000000000001,1.1159999999999999,1.4697875,0.13949999999999999,0.5779285714285715,1.55,0.1903316981702915,0.0,1.778,2.794,3.048,0.2495,0.321,-1.1133982035928156,13.964844,22.375,1.9897405,84.62255218953489,0.2644516823228737,2021-09-05 22:30:00
2021-09-05 23:00:00,2.074,1.4923076923076923,0.05,0.72,0.9486249999999999,0.09,0.3729813664596273,3.1317399999999997,2.2533846153846153,0.07550000000000001,1.0872,1.4324237499999999,0.1359,0.5632018633540372,1.51,0.17897694729316943,0.0,1.778,2.794,3.048,0.249,0.321,-1.2347014925373152,13.964844,22.25,3.7270665,82.78401842386364,0.2636790338355742,2021-09-05 23:00:00
2021-09-08 19:30:00,2.07,1.48,0.05,0.81,1.0,0.09,0.39,3.3947999999999996,2.4272,0.082,1.3284,1.64,0.14759999999999998,0.6396,1.64,0.21484384804769785,0.0,21.340000000000003,21.340000000000003,24.134000000000004,0.334,0.319,1.4501984126984127,19.954427,23.083333333333332,0.3797980000000001,121.35053286351352,0.1925616459795496,2021-09-08 19:30:00
2021-09-08 20:00:00,2.08,1.48,0.05,0.81,1.0,0.09,0.4,3.3696,2.3976,0.08100000000000002,1.3122000000000003,1.62,0.1458,0.6480000000000001,1.62,0.20951501454263097,0.0,21.340000000000003,21.340000000000003,24.134000000000004,0.3335,0.319,1.6216269841269835,18.945312,23.25,-3.2581274999999996,118.07135759078949,0.19241062743410003,2021-09-08 20:00:00
2021-09-08 20:30:00,2.08,1.48,0.05,0.81,1.0,0.09,0.4,3.4528,2.4568,0.083,1.3446,1.66,0.14939999999999998,0.664,1.66,0.22010808804005508,0.0,21.340000000000003,21.340000000000003,24.134000000000004,0.3325,0.319,1.6269841269841265,17.96875,23.25,-0.7695125,115.02415579358977,0.19228280148126187,2021-09-08 20:30:00
